DayOfYear,Hist_Avg_Rainfall,Hist_Avg_Inflow,Hist_Avg_Storage
336,2.273,19780900.0,1.7472342052395782
337,0.9410000000000001,8192500.0,1.7437281451035491
338,0.371,3233500.0,1.7392486254933908
339,0.38099999999999995,3308900.0,1.735194688220422
340,0.244,2122800.0,1.7330422674174506
341,0.266,2311300.0,1.726150785851366
342,0.072,620600.0,1.7234497989980475
343,0.012,113100.0,1.719547919345241
344,0.004,37700.0,1.7135055423337175
345,0.098,849700.0,1.7080940440861347
346,0.225,1963300.0,1.7027487305160065
347,0.12799999999999997,1116500.0,1.6976275738174835
348,0.269,2343200.0,1.6927611927407349
349,0.262,2282300.0,1.6911253178940568
350,0.046,411800.0,1.6860061026033395
351,0.013000000000000001,110200.0,1.6807385155728345
352,0.0,0.0,1.6753931853272668
353,0.0,0.0,1.669911334100015
354,0.0,0.0,1.6651874464223853
355,0.0,0.0,1.6596067671112404
356,0.003,26100.0,1.6531587161042656
357,0.057999999999999996,498800.0,1.64769423392326
358,0.1,867100.0,1.6127069624817776
359,0.252,2192400.0,1.638065308468875
360,0.333,2900000.0,1.6328094999119827
361,0.05,432100.0,1.6286501869809134
362,0.22600000000000003,1957500.0,1.6245164939539762
363,0.272,2366400.0,1.6208616825475421
364,0.10200000000000001,881600.0,1.617368039102697
365,0.034,298700.0,1.6153485884743375
366,0.0,0.0,1.8187819951550852
